"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [Paikallinen aika]","Sademäärä [mm]","Ilman keskilämpötila [°C]","Ylin lämpötila [°C]","Alin lämpötila [°C]"
"Enontekiö Kilpisjärvi kyläkeskus","2016","9","28","03:00","8.1","8.1","9.1","7.7"
"Enontekiö Kilpisjärvi kyläkeskus","2016","9","29","03:00","0.8","7.7","10.4","6.2"
"Enontekiö Kilpisjärvi kyläkeskus","2016","9","30","03:00","7.1","5.1","6.7","4"
"Enontekiö Kilpisjärvi kyläkeskus","2016","10","1","03:00","1.4","5.4","7.4","4.7"
"Enontekiö Kilpisjärvi kyläkeskus","2016","10","2","03:00","0.4","3.2","5.6","2.2"
"Enontekiö Kilpisjärvi kyläkeskus","2016","10","3","03:00","-1","0.7","3.4","-0.4"
"Enontekiö Kilpisjärvi kyläkeskus","2016","10","4","03:00","-1","1.9","6.8","-1.2"
"Enontekiö Kilpisjärvi kyläkeskus","2016","10","5","03:00","1.2","5.5","9.5","0.6"
"Enontekiö Kilpisjärvi kyläkeskus","2016","10","6","03:00","0","7.5","9.1","5.9"
"Enontekiö Kilpisjärvi kyläkeskus","2016","10","7","03:00","-1","4.9","7.8","1"
"Enontekiö Kilpisjärvi kyläkeskus","2016","10","8","03:00","-1","1.5","3.4","-0.5"
"Enontekiö Kilpisjärvi kyläkeskus","2016","10","9","03:00","-1","-0.6","2.2","-2.7"
"Enontekiö Kilpisjärvi kyläkeskus","2016","10","10","03:00","-1","-0.6","5","-4.7"
"Enontekiö Kilpisjärvi kyläkeskus","2016","10","11","03:00","0.1","2.4","7.5","-3.9"
"Enontekiö Kilpisjärvi kyläkeskus","2016","10","12","03:00","0","6.1","7.4","4.2"
"Enontekiö Kilpisjärvi kyläkeskus","2016","10","13","03:00","-1","6","7.7","4.3"
"Enontekiö Kilpisjärvi kyläkeskus","2016","10","14","03:00","-1","3.6","5.5","1.1"
"Enontekiö Kilpisjärvi kyläkeskus","2016","10","15","03:00","-1","0.2","4.1","-1.9"
"Enontekiö Kilpisjärvi kyläkeskus","2016","10","16","03:00","-1","-2.6","-0.5","-5.2"
"Enontekiö Kilpisjärvi kyläkeskus","2016","10","17","03:00","-1","-5.8","-1.5","-7.3"
"Enontekiö Kilpisjärvi kyläkeskus","2016","10","18","03:00","0.1","-0.8","2","-6.7"
"Enontekiö Kilpisjärvi kyläkeskus","2016","10","19","03:00","-1","-0.6","3.1","-4.4"
"Enontekiö Kilpisjärvi kyläkeskus","2016","10","20","03:00","0","2","5.2","-0.9"
"Enontekiö Kilpisjärvi kyläkeskus","2016","10","21","03:00","-1","1.2","3.4","-0.7"
"Enontekiö Kilpisjärvi kyläkeskus","2016","10","22","03:00","-1","0.6","2.2","-0.7"
"Enontekiö Kilpisjärvi kyläkeskus","2016","10","23","03:00","-1","-0.6","0","-1.2"
"Enontekiö Kilpisjärvi kyläkeskus","2016","10","24","03:00","-1","-0.7","1.1","-1.6"
